[作品信息]作品名称,[作品信息]小类(二级分类),[类别信息]高校,(科技发明类)[作品信息]
大功率高亮度LED三维光源模组设计与制造,机械与控制,华南理工大学,本作品所开发的LED三维光源模组集相变封装技术、高亮度强化出光结构制备技术于一体，并提出相变压胀技术应用于相变传热元件与散热器的连接。本作品具有大封装密度，高光效，低热阻的特点，可普遍应用于工矿灯、景观灯、汽车前大灯、背光源、投影仪等大功率LED照明领域。
西北贫困农村地区现代夯土绿色民居设计建造示范研究,机械与控制,西安建筑科技大学,"中国广大黄土高原地区,生态环境脆弱、资源短缺、村民经济及教育水平低下是房屋建设的主要挑战。团队争取无止桥慈善基金赞助、法国国际生土建筑研究与应用中心的技术支持，成立志愿者团队，发起绿色现代夯土农宅建造模式研究及示范项目。该项目在安全性、经济性、可持续性及舒适度上远高于村民自建砖混房屋。目前已建成夯土农宅示范房一户，本村有12户村民正在推广自建。"
非圆齿轮分割器系列设计与研究,机械与控制,武汉理工大学,本项目将非圆齿轮传动与齿轮差动轮系结合，得到非圆柱（锥）齿轮-圆柱（锥）齿轮差动轮系，由此提出了外啮合传动、内啮合传动、空间啮合传动三种间歇输出的输出机构，将上述原理运用到分割器的设计中，设计出新型非圆柱（锥）齿轮分割器系列产品，其不仅有主流的凸轮分割器动力性能好、精度高、自锁性能好等优点，同时还具有易实现大分度、寿命长、设计方式灵活，易于实现直线分度等特点。
七丝旋转电弧气电立焊关键技术及设备,机械与控制,江苏科技大学,研制专用变速送丝机和焊枪，选用下降外特性焊接电源和自动焊接爬行小车，建立气电立焊系统；制备一种由7丝绞合形成的缆式焊丝（可以根据钢板厚度选择焊丝直径和成分）形成旋转焊接电弧进行7丝气电立焊。相比单丝气电立焊，焊接熔敷速度提高30%，焊接接头侧壁熔透性和韧性显著改善。
新型永磁磁浮选机,机械与控制,河北联合大学,新型永磁磁浮选机是针对铁矿反浮选过程中，微细粒铁矿物大量损失于泡沫尾矿中的问题，将永磁磁系引入浮选机。在常规浮选机的浮选槽内部或外侧装一个旋转永磁磁系，在槽内产生一个磁力，浮力和重力相结合的复合力场，采用浮选、磁选相结合的原理使磁性矿物与非磁性矿物有效分离。使用时可根据需要调整磁场强度，磁系转速和旋转方向。具有能耗低，操作简单，简化流程，运行平稳等特点。可最大限度的回收矿产资源，从而提高经济效益。
重型车智能可调后防护装置,机械与控制,吉林大学,为避免小车追尾重型车时钻入重型车后悬下部（驾驶室被“铲平”）造成的重大伤亡，同时兼顾重型车通过性，本作品设计了一套重型车智能可调后防护装置，可智能识别本车和后方车辆的行驶状态，判断后车追尾趋势，并据此主动调节后防护装置的离地高度，实现车辆安全性与通过性的协同优化。同时，采用仿生技术，设计了一套仿羊角跨尺度结构特性的后保险杠，可有效提高保险杠吸能作用，增加车辆的被动安全性能。
碳纳米管工具电极的制备与应用,机械与控制,南京航空航天大学,纳米电极是进行纳米电解加工的必备条件，其特征尺寸直接影响纳米结构的最终尺寸。本作品首创性提出了利用电弧放电将碳纳米管焊接在钨针尖上的纳米工具电极制备方法。基于自主设计的纳米试验系统实现了碳纳米管工具电极的在线制备、电学性能测试、优化处理等试验，并进行电解加工试验研究，加工出纳米特征尺寸的结构，达到世界先进的纳米加工水平，推动了微细电解加工技术在精密仪器、生物医学、国防工业等领域的突破性进展。
基于物联云的智能用电用能系统平台的开发,机械与控制,华北电力大学(保定),结合物联网和云计算技术开发出一种基于物联云智能用电用能系统平台，具有12项专利和5篇高水平论文。采用物联网技术实现了“同电力公司-分布式能源-物联网设备和设备间联动”全方位互动；面向家庭物联网的云计算架构可量身打造出用电用能服务模式；基于本地专家系统和后台云端的异步同步信息处理模式很好兼顾了事务处理的快速性和可靠性；基于微网技术和物联网技术进行家庭分布式能源的科学管理和智能调度。
水工程服役风险辅助分析系统,机械与控制,河海大学,《水工程服役风险辅助分析系统》是基于Delphi2007+SQLServer开发的用于水工程服役性态监控模型建立、监控指标拟定、实时监控和离线分析的辅助分析系统。该系统通过对水工程服役性态评估的多源检测、监测和巡查资料等进行高效管理，建立监控模型、拟定监控指标，因果推理机制，完成对水工程服役性态的实时监控、离线推理决策功能，从而实现对水工程服役风险评定的辅助分析。
“哨兵”—单桨涵道风扇飞行器,机械与控制,中国人民解放军国防科学技术大学,本作品设计了单桨涵道风扇飞行器，该飞行器能够垂直起降，水平前飞，这样融合了传统固定翼和直升机的优势；采用涵道包裹螺旋桨的气动布局，既有效提高了气动效率，又保护了飞行器安全，更好地适应城市街区、灾害现场等复杂环境下飞行，这样又避免了传统飞行器的不足。自主完成飞行控制系统全部软硬件设计。制作并使用传感器，辅助定点和提高姿态解算。
配电网接地故障选线与区段定位装置,机械与控制,长沙理工大学,配电网接地故障选线与区段定位是我国在建、改建的电力系统保护亟待解决的难题。由于故障信号微弱、电弧及干扰影响等原因，现有装置在实际运行中保护正确率低。为此，本作品针对保护的各环节，发明了5项专利，研发了集故障检测、故障选线及区段定位于一体的成套装置，具备深度挖掘故障信息、正确隔离故障线路、智能查找故障位置等功能，可显著缩短停电时间、提高用电可靠性。产品已在长沙、珠海应用，产生利润253万元。
基于自吸空气旋流发泡的高效泡沫降尘系统,机械与控制,中国矿业大学,针对现有矿尘防治技术的不足，特别是国内外高可靠性、低成本泡沫降尘装备仍处于空白状态的现状，创新研制了一种结构简单、安全可靠、操作方便、运行成本低、实用性强的泡沫降尘系统。该系统采用自主发明的自吸空气旋流发泡装置实现泡沫的高可靠性制备，采用首次研制出的弧扇喷头实现泡沫的高利用率降尘，不仅可广泛用于煤矿井下的粉尘防治，还可用于露天煤矿、非煤矿山、水泥、建筑等行业的尘害治理，推广应用前景十分广阔。
基于力柔顺伺服控制技术的冗余驱动并联机器人,机械与控制,燕山大学,本研究小组针对精密装配、太空对接与复杂曲面铣销等领域对能够精确控制位置与环境接触力的智能机器人的迫切需求，基于实验室现有的条件，研制了基于力柔顺伺服控制技术的冗余驱动并联机器人。实验显示该机器人具有较高的运动精度及良好的冗余力跟踪性能，能够实现预期的高精度装配任务和复杂曲面跟踪任务。
用于海洋环境监测的S波段多普勒雷达的研制,信息技术,武汉大学,本作品一种国内外新型雷达。综合了国内外同类雷达的先进技术并针对国内外系统的固有缺点，对雷达硬件、雷达信号波形参数设计及风浪流参数反演算法等方面进行创新设计。突出优点表现在系统的指标灵活性高、雷达性能的可靠性和稳定性高上。本作品将拓展我国海洋遥感仪器的种类，填补我国无线电海洋遥测仪器的空白，提高我国海洋遥感监测技术水平和监测能力，在海浪预报、防灾减灾等方面具有重要的意义。
基于可见-近红外光谱信息的便携式紫菜等级分析仪,信息技术,温州大学,紫菜在我国东部沿海种植广泛，交易量大，紫菜等级决定着紫菜的交易价格，但是区分紫菜的等级却是一个难点，相比目前依靠经验法、化学方法区分紫菜等级，本作品创新性地利用紫菜的可见-近红外光谱特性，结合嵌入式处理技术，设计出一种紫菜等级识别仪器。相比传统的紫菜等级识别方法，本团队研发的紫菜等级分析仪不仅识别率高（识别正确率可达到100%），而且具有便携，实时快速、可现场大批量检测的显著优点。
