[作品信息]作品名称,[作品信息]小类(二级分类),[类别信息]高校,(自然科学类)[作品信息]简介
含过氧钛多金属氧酸盐纳米催化剂的设计合成及其氧化降解SCN-的研究,能源化工,东北师范大学,"本项目以杂多酸（CTAn[PW12-xTixO40-x(O2)x](x=1,2and3;n=5,7and9)）为催化剂，湿法催化氧气氧化硫氰根为无机离子硫酸根、硝酸根、碳酸氢根和铵根，方法简单，原料易得且经济便宜。此外，发现了POMs表现出氧物酶的特性，它们可以在空气中快速催化氧化有机染料TMB，利用此体系可以提供一个简单、快速、可视检测肿瘤细胞的方法。"
电场强化微电解装置开发及处理含重金属矿冶废水的研究,能源化工,昆明理工大学,本项目结合二维电解装置和三维电解装置的优点，以及综合旋转电极式、流化床式和三维电极式的技术特点，以铜冶炼废水为代表，以所开发的新型电解装置为核心技术，研究电化学处理和回收含重金属冶炼废水的技术和工艺，采用本项目开发的电解装置和处理技术与其他电解处理方法相比，预计处理费用可节省许多，且电解回收的重金属可以作为资源利用。
红麻皮保温棉的制备与阻燃性能研究,能源化工,福建农林大学,红麻皮保温棉，是以天然廉价的红麻皮为原料，制成密度为30-90kg/m3的超轻质保温材料。生产过程中使用的填料燃烧均无污染。成品密度低，保温性能好，且有良好的阻燃、防水、防霉性能。生产使用过程中对人体与环境均无害。同市场现有的阻燃材料相比，无论是从环保或是经济角度考虑，红麻皮保温棉都优于现有的常用阻燃材料。
先进节能建筑材料-新型酚醛保温板的制备,能源化工,东北大学秦皇岛分校,酚醛保温板以其耐燃性好、发烟量低、高温性能稳定，被誉为“保温之王”。但是其低韧性、高粉化程度问题限制了其在建筑保温工程上的大规模应用。本作品基于表面引发技术，设计出新型有机-无机纳米复合材料为改性剂，制备出性能优越的酚醛保温板。解决了酚醛保温板高粉化的问题，提高了其韧性性能，使其更加适合用于建筑外保温系统。
电子俘获型功能发光材料的研究及应用,能源化工,兰州大学,本项目使用高温固相法获得并制备具有优秀光存储性能的CaZrO3，具有超长余辉性能的基质余辉材料Ca2ZrSi4O12以及首次在锑酸盐体系中发现的余辉材料Ca2Sb2O7:Sm3+，并对其光致发光，余辉发光，光激励发光，热释光性能进行了详细的研究；并尝试制作了电子俘获型信息光存储光盘及其光驱系统的概念演示模型与战区地形夜光地图以展示其实际应用价值。
受激光剪纸术启发的纸微流控分析装置研制,能源化工,桂林理工大学,本项目受中国激光剪纸术启发，利用激光雕刻石蜡涂层技术，开展具有原始创新性的纸微流控分析装置制备新技术研究。项目探讨了高重复性、可控的均匀石蜡涂层制备策略，建立高重复性的激光雕刻制备纸微流控分析装置条件，并以葡萄糖为模型分析物考察了新平台的生化分析性能。结果显示，新方法简便、经济、对操作人员要求较高的专业技能等问题，有望在临床医学诊断、食品安全、环境监测等诸多领域获得广泛应用。
新型减摩材料的研制--碳化硅衍生碳的制备、表征及其摩擦性能研究,能源化工,燕山大学,本项目研究了碳化硅衍生碳粉末的制备、微观结构及作为润滑油添加剂的摩擦学性能之间的关系。利用高温氯化法制备了碳化硅衍生碳，采用XRD、Raman、TEM分析了碳化硅衍生碳的微观结构，利用CETR摩擦磨损试验机研究了润滑油添加不同制备工艺下得到的碳化物衍生碳后的摩擦性能。为拓展润滑油的有效工作范围，进一步降低润滑油摩擦系数，延长机械装备使用寿命，节能降耗提供了理论依据和新的研究途径。
宽光谱吸收双波段叠层染料敏化太阳能电池的光电性能研究,能源化工,河北大学,这种电池由前后两个电池组成：前面的电池吸收太阳光中的紫外光和可见光，后面的电池吸收近红外光，这两个电池连接起来提供电压，这样就能有效地拓宽太阳光的利用范围，最大程度将光能转变成电能。
具有生物活性酰腙化合物的合成及性质研究,能源化工,西安科技大学,合成了3种具有生物活性的酰腙化合物，培养出了单晶，确定了其准确结构。通过热重技术，探讨了3种化合物的热稳定性，并计算了热分解过程的动力学参数。采用紫外和微量热法研究了该3种化合物的生物活性。
无毒两性高分子絮凝剂的制备、表征及应用研究,能源化工,四川师范大学,本研究项目针对国内外现有制备混凝剂的单体具有一定毒性，选择无毒单体，采用适宜的聚合方法和工艺技术，制备了一种无毒、有效新型有机两性高分子絮凝剂，并进行结构与性能分析、废污水处理和污泥脱水应用研究，试验显示，CODCr去除率达到90.2%，浊度去除率达到98.9%。目前仍在不断优化中……
层层组装制备GNS/Ni-AlLDH复合物薄膜及其电化学性能研究,能源化工,哈尔滨工程大学,石墨烯材料由于具有高的比表面积、良好的电导率、理想的二维层状结构，在能量存储领域受到了广泛关注。由于石墨烯易于成膜，制备石墨烯膜电极用于超级电容器是现在的研究热点。但缺点是牺牲石墨烯有效的比表面积，降低了石墨烯电极的比电容。我们通过层层组装的方法，将石墨烯膜与赝电容材料复合，设计制备多层石墨烯复合薄膜用于制备超级电容器电极，不仅可以有效提高电极的比电容，也可以阻止石墨烯的团聚。
LiNi0.5Mn0.5O2单晶纳米片正极材料的制备及其在锂电池中的应用,能源化工,湖北大学,本研究以二氧化锰纳米片为反应物，通过其与甲基锂和硝酸镍的反应，原位制备了一种LiNi0.5Mn0.5O2单晶纳米薄片。然后研究纳米片的微观结构和形成机制，并将其作为锂离子电池正极活性材料，与金属锂组装成半电池，探索其在锂离子二次电池中的应用。
机械活化固相化学反应法制备木薯醋酸酯淀粉工艺,能源化工,玉林师范学院,本作品我们将采用机械活化固相化学反应一步法制备醋酸酯淀粉，将机械活化固相化学反应技术引入到变性淀粉行业，掌握制备醋酸酯化淀粉的核心技术是我们的方法创新。
草莓花瓣诱导突变体培育新品种和集成脱毒技术,生命科学,通化师范学院,该作品利用草莓花瓣花瓣诱导遗传性稳定的草莓变异株（系），已培育出草莓新品种，定名为“通生草莓1号”，并对多个优质草莓品种进行试管内诱导草莓匍匐茎与高温处理结合茎尖培育草莓脱毒种苗，新品种草莓和脱毒草莓苗已在通化县、东昌区等地大面积推广。两项研究成果必定促进三农经济的发展和推进了农业科技的进步，具有极大的经济和社会效益。
山东蒙山线蚓群落结构及其影响因子初步研究,生命科学,枣庄学院,2011年9月对蒙山线蚓群落结构及其影响因子进行研究。共鉴定线蚓513只，隶属4属15种，对其分布和影响因子进行研究，对当地生态环境状况进行评价。
下丘脑垂体神经系统内TFF3高表达促进大鼠实验性胃溃疡愈合,生命科学,河北北方学院,"1.三叶因子3（TFF3）对胃肠道黏膜有保护作用;脑肠轴积极参与胃肠道调节,作为脑肠轴的核心的下丘脑垂体既是神经系统又具内分泌功能,神经内分泌系统在消化性溃疡的愈合过程起了何种作用?2.人类下丘脑视上核和室旁核、垂体均可表达TFF3。3.大鼠是人类疾病常用的实验动物，与人类神经系统有相似性，在前期工作的基础上,以大鼠下丘脑垂体系统TFF3在胃溃疡自愈期间表达变化作为切入点,开展本项目的研究。"
PW11M/TiO2纳米可见光催化剂的制备及光催化性能研究,能源化工,海南师范大学,本文以Keggin型铁(铬)取代杂多化合物PW11O39M(III)(H2O)[PW11M，M=Fe、Cr]为可见光催化活性组分，TiO2为纳米结构成膜载体，用溶胶凝胶法制备了新颖的PW11M/TiO2纳米可见光催化剂，在IR、XRD、SEM等表征的基础上通过RhB的可见光催化降解效果评估了该催化剂的可见光催化活性，提出了新颖的光催化反应机理和模型，并探讨了不同制备条件对催化剂催化活性的影响。
基于氧化石墨烯-多壁碳纳米管/离子液体修饰丝网印刷电极的苏丹红Ⅰ电化学传感器的研制,能源化工,遵义师范学院,首次构建了氧化石墨烯-多壁碳纳米管/离子液体修饰丝网印刷电极的苏丹红Ⅰ电化学传感器，该传感器制作简单、灵敏度高、检测快速、造价廉价，小巧且集成度高，样品需要量少（μL级），抗干扰性强，可用于食品中痕量苏丹红Ⅰ残留的检测，该技术具有较大的经济效益、社会效益以及良好的应用前景。
掺杂扶手椅型石墨烯纳米带中的铁磁涨落,数理,北京师范大学,石墨烯是科学家研究的热点材料。我们采用Hubbard模型给出了蜂窝状晶格上铁磁关联的精确数值计算结果。反铁磁关联在半满状态附近占据主导地位，而铁磁关联则在电子浓度低于0.8是占据主导地位。由于铁磁关联性受电子浓度的影响较大，所以它可以通过门电压来调控。此外，铁磁关联随着次近邻跃迁项的增强而显著加强，这预示着在扶手椅型石墨烯带中，通过改变t'可以达到调控铁磁关联的目的.
新型石墨烯基快速充放锂离子电池电极材料研究,能源化工,郑州大学,能源和环保成为当今世界主题。开发新型环保能源器件成为重中之重。目前，可重复使用二次绿色电池—锂离子电池(LIBs)可能在电动汽车等领域应用，引起了极大研究兴趣。现有LIBs的缺点是不能快速充放电和充放电循环稳定性较差。本作品旨在研制开发新型电极材料—石墨烯基三维复合材料（二氧化钛-碳-还原石墨烯）来解决问题。
大飞机工程用MOSW聚合物基复合材料制备及力学性能研究,能源化工,沈阳理工大学,随着动车、高铁、飞机等高速运载工具的快速发展，迫切需求轻质高强、绿色环保、阻燃抑烟的复合新材料，本项研究利用廉价的表面改性剂对MOSW进行表面改性，获得最适宜的表面改性技术，实现低成本改性晶须的目的。将改性晶须与PVC、PP、PE、ABS等聚合物基材料复合，制备出性能满足要求的聚合物基复合新材料，并探明MOSW用量对复合材料力学性能的影响规律。
蔗渣基吸附纤维的制备及其在温室气体富集中的应用研究,能源化工,中山大学,固态胺吸附剂是二氧化碳富集的关键材料。本研究以蔗渣为基体，接枝共聚丙烯酰胺单体，后用多烯多胺氨化，制得了一种弱碱型吸附纤维。较为详细地研究了材料的制备条件、结构及其对二氧化碳的吸附性能。初步的研究结果表明，该吸附纤维对二氧化碳具有较高的吸附容量。在目前报道的各种吸附材料中，本研究制备的吸附纤维，对二氧化碳具有较高的吸附容量。研究成果既实现了蔗渣的综合利用，又为温室气体减排提供了关键技术支撑。
