[作品信息]作品名称,院系,[类别信息]高校,(哲学社科类)[作品信息]简介
城镇化进程中新生代农民工非制度化维权影响因素的实证研究,管理,华中师范大学,在全国范围实地调查的基础上，本项目运用定量和定性的方法，描述了新生代农民工权益现状及其特征，揭示了新生代农民工的维权意识、态度和行为偏好，并通过建立Logistic回归模型深入剖析了新生代农民工非制度化维权的影响因素及其作用机制。在理论上对新生代农民工非制度化维权的运行规律及内在逻辑提供了学理解释；在实践上为政府完善新生代农民工权益保障制度，应对因其维权而引发的群体性事件提供了决策依据和参考建议。
村级公益事业一事一议财政奖补政策的绩效评价,管理,华南农业大学,村级公益事业一事一议财政奖补政策是我国政府建设村级公益事业的重要举措。自2008年我国推行一事一议政策试点以来，尚无研究对该项政策的实施绩效给予评价和分析。本作品基于广东省13个样本村的实地调研，通过分析调研地区一事一议政策的执行情况，运用模糊综合分析法和灰色关联度分析法对该政策进行绩效评价，在深入探讨一事一议政策实施过程中存在问题的基础上，提出完善我国一事一议政策的措施和建议。
公共服务供给视角下的事业单位改革目标与路径研究,管理,中山大学,本研究从事业单位公益性的本质出发，以事业单位分类改革作为研究的起点，整合各世界组织的统计数据以构建国际公共服务绩效数据库，通过国际对比寻求以事业单位为主体的中国公共服务模式的缺失和改进空间，从供给主体、供给方式和供给内容三个方面进一步提出到2020年事业单位总体的改革目标和战略。
构建保障公共权力规范运行的安全平台,管理,广州大学,广州把廉洁城市建设与新型城市化发展紧密结合起来，以构建保障公共权力规范运行的安全平台为基本价值取向，紧扣保障公共权力规范运行的主线脉络，强化规范用权顶层设计，致力多元治理，开创了立体反腐的新机制、新局面。本作品阶段性成果已发表于全国高校社科百强期刊《某大学学报》之教育部名牌栏目“廉政论坛”，并被《高等学校文科学术文摘》摘要；作品的主体部分拟将发表于公共管理权威期刊《中国行政管理》。 
基于维稳视角的拉萨市老城区流动人口管理调查报告,管理,西藏大学,从维护社会稳定大局出发，本文选取拉萨市老城区的流动人口为研究对象，分别在老城区下辖的三个街道办事处、十五个居民委员会展开调研，前后历时八个月之久，基本上就拉萨市老城区的流动人口及存在的管理问题做到了系统把握。
农户农产品质量安全行为分析,管理,吉林农业大学,1、本文是教育部人文社科研究规划基金项目“基于供应链视角的农产品质量安全可追溯体系建设的研究”（12YJA630173）和长春市科技局软科学研究项目（2011047）的阶段性成果。2、问卷设计有创新。针对种植户和养殖户分别设计调查问卷，设计问题紧密结合研究内容，具体、深入、新颖。3、本科生参与人数较多、调查范围较广，增加了学生实践动手能力。
三方博弈视角下摊贩管理长效机制的探索,管理,浙江工商大学,城市摊贩管理是城市化进程中社会管理创新的重要课题。本文以城市管理走在全国前列的杭州市为例，通过对杭州市八城区的走访和调查，从公众、摊贩和城管三方博弈视角出发分析各方意愿选择和行为逻辑。在对三方博弈综合分析之后，本文梳理了当前杭州市管理过程中仍旧存在的困境。因此，在对杭州经验进行总结的基础上，我们通过借鉴国内外经验，分别从四个层面的优化以提升杭州市现有的多元参与模式，构建起“五位一体”综合治理模式。
网络交易欺诈行为特征分析,管理,重庆邮电大学,网络交易欺诈问题已严重阻碍网络经济健康发展，而现有监管技术无法对其实现主动定位、追踪。因此，本作品致力于探求网络交易欺诈行为衍生的基本规律，首先，搜集近两年典型案例，提炼出网络交易欺诈的六大类型，然后，基于计划行为理论，提炼出网络交易欺诈行为的九类影响因素；从而，构建特征分析量表，通过问卷数据分析，得出不同类型网络交易欺诈行为的四大关键共性特征：形象包装特征、利益导向特征、形式特征与技术包装特征。
西安城区交通拥堵状况评价与对策研究,管理,西安外事学院,为了解城区交通拥堵的具体状况，在主要商业地带及路段进行实地观察和调研，同时向社会发放200份问卷，分别对青年、中年、老年三个群体进行分层抽样调查，根据调查所得数据做出详尽的定性与定量的分析，进一步分析西安城区交通拥堵的现状及其原因，结合新加坡的TMD模式，英国伦敦的价格分流法，德国柏林倡导自行车出行，香港公交优先策略等国内外城市治理城区交通拥堵的成功经验，加以提炼升华提出解决对策。
消耗性林木资产会计信息披露研究,管理,福建农林大学, 本作品采用定性与定量相结合的方法，在对消耗性林木资产会计信息披露的相关概念和理论依据进行分析的基础上，基于专家调查问卷、实地调研和对上司公司会计报告的分析，指出当前在消耗性林木资产信息披露中存在的披露不全面、不规范、不可比等问题，并分析导致这些问题的内、外部原因，在得出研究结论的同时，从改进消耗性林木资产信息披露的方式和内容，以及完善信息披露的配套政策等方面提出了建议。
校园整合型自提点需求及可行性的调研报告,管理,对外经济贸易大学,本课题针对高校物流配送现状，结合大学生网购群体的特殊性，提出校园整合型自提点这一设想，并选取富有代表性的北京市一所高校为例进行研究。采取文献综述、现场访谈、问卷调查等多种方式，建立数学模型，对不同物流模式的满意度及公司成本与盈利空间进行定性与定量分析，并设计了整合型自提点的具体运营管理模式，多方面探究该方案的可行性，以及建立校园整合型自提点对改善物流最后一站问题的重要意义及必然趋势。
中国老龄化财政负担的预测研究,管理,东北大学,本研究依据人口普查数据和统计数据，综合应用人口预测、经济计量和系统动力学模型，探讨人口老龄化对我国财政支出的影响强度。通过对未来30年我国人口老龄化趋势及其对社会保障支出、政府卫生支出和养老保险基金支出的影响的预测和评估，研究发现1）至2040年老年抚养比将达到40.26%。2)2010-2040年间，只有国家财政支出总额的平均增速保持在10%以上，人口老龄化才不会形成太大的财政支出压力。
